term,count
",",20000
.,23467592
:,9161738
och,3069995
i,2378168
med,2224588
på,1855000
till,1419524
att,1381231
en,1350506
av,1328151
har,1298864
för,1062334
/,998288
som,865978
diagnos,823384
patient,723923
patienten,100000
patienthistorik,200000
om,707419
är,699061
1,645765
det,628209
vid,584600
inte,522989
vårdenhet,508914
icd10,488988
men,483176
2,468518
sig,453668
efter,451395
från,450174
pat,449005
blodtryck,428546
under,405719
smärta,398963
mm,383513
han,376662
hon,349205
-,347518
får,339326
aktuellt,338577
3,332556
ingen,332430
hälsoproblem,332007
samt,327043
kan,324380
0,320208
kva,317756
anteckning,316083
hg,313563
höger,311948
ett,311219
man,307239
vänster,304098
då,299314
),297648
(,293998
planering,290294
utan,283430
inga,281138
ml,276027
den,273821
kontaktorsak,273391
sedan,270049
tidigare,264048
nu,255144
bra,254006
detta,253519
bedömning,249705
upp,243893
eller,243252
kommer,242198
ut,241654
5,238423
kl,237372
lite,235992
%,235752
går,234278
dr,227074
även,226838
ej,226577
allmäntillstånd,225090
x,212951
vi,212725
4,210171
information,207594
över,207152
systoliskt,202838
ska,201898
enligt,201464
poäng,200699
blod,196148
nutrition,185383
idag,179725
syremättnad,179190
god,176967
a,176872
fått,172920
min,170163
hud,170060
så,169302
#,168912
pvk,168618
c,165368
mg,164745
något,162256
kroppstemperatur,161073
vä,158723
diastoliskt,157006
in,156313
puls,155451
visar,155289
aktivitetsförmåga,154323
mycket,154073
remiss,150380
fortsatt,148884
slag,148570
hö,147185
haft,143006
varit,141118
jag,138951
när,138234
dock,136205
var,133869
där,132789
veckor,132555
återbesök,131247
minut,128619
cirkulation,128136
se,127787
op,125453
läkare,123186
6,120984
operation,120813
därefter,118536
någon,118457
mot,117269
typ,116273
ser,115700
tar,115273
finns,115271
de,115017
besvär,114874
gott,113867
andningsfrekvens,112871
sida,112040
mer,111518
inget,111114
+,110215
hand,109589
via,109250
u,108782
lätt,107040
10,106564
lungor,104846
ny,104383
behov,103233
neurologiskt,102592
sin,102478
